"BLU","GRE","RED","REDEDGE","NearIR","NDVI","NDRE","SR","GLI","RGI","ExG","meanRGB","RBI","ID_point","class"
0.0895,0.2009,0.1053,0.4164,0.6339,0.715097402597403,0.207083690374179,6.01994301994302,0.34696614146832,0.524141363862618,0.207,0.1319,1.17653631284916,254170,1
0.0465,0.1045,0.0536,0.2347,0.4227,0.77493176569389,0.285975053240037,7.88619402985075,0.352313167259787,0.512918660287081,0.1089,0.0682,1.15268817204301,254175,1
0.2207,0.2599,0.2792,0.3906,0.4987,0.282169944722972,0.121556280220398,1.78617478510029,0.0195155437873885,1.07425933051174,0.0199,0.253266666666667,1.26506570004531,254178,2
0.0635,0.1739,0.0873,0.4321,0.6995,0.778088459583121,0.236302580417109,8.01260022909507,0.395106297633373,0.502012650948821,0.197,0.108233333333333,1.3748031496063,298767,1
0.0497,0.1376,0.0666,0.3377,0.6175,0.805291624031574,0.292922948073702,9.27177177177177,0.405874840357599,0.484011627906977,0.1589,0.0846333333333333,1.34004024144869,298908,1
0.0534,0.1675,0.0734,0.3984,0.666,0.801460643765215,0.25140924464487,9.07356948228883,0.450844521437852,0.438208955223881,0.2082,0.0981,1.37453183520599,300911,1
0.0408,0.104,0.0478,0.2743,0.5741,0.846277536581444,0.353371051390853,12.010460251046,0.402562373567094,0.459615384615385,0.1194,0.0642,1.17156862745098,300938,1
0.0605,0.1819,0.0837,0.4435,0.7238,0.792693498452012,0.240126788314915,8.64755077658304,0.432283464566929,0.460142935678944,0.2196,0.1087,1.38347107438017,305152,1
0.0602,0.1782,0.0846,0.4159,0.6614,0.773190348525469,0.22788452613014,7.81796690307329,0.42218675179569,0.474747474747475,0.2116,0.107666666666667,1.40531561461794,306694,1
0.0558,0.159,0.0723,0.3775,0.6723,0.8058017727639,0.280815393408268,9.29875518672199,0.425689307330195,0.454716981132075,0.1899,0.0957,1.29569892473118,320027,1
0.0362,0.1134,0.0468,0.2881,0.5661,0.847283406754773,0.325450714118473,12.0961538461538,0.464170432537121,0.412698412698413,0.1438,0.0654666666666667,1.29281767955801,320125,1
0.0435,0.1504,0.0604,0.3598,0.6241,0.823520818115413,0.268624860250025,10.3327814569536,0.486533234494687,0.401595744680851,0.1969,0.0847666666666667,1.38850574712644,320240,1
0.045,0.1416,0.0596,0.3508,0.6518,0.832443070002811,0.300219429483343,10.9362416107383,0.460546673543064,0.42090395480226,0.1786,0.0820666666666667,1.32444444444444,320269,1
0.0506,0.1517,0.0616,0.3776,0.6928,0.836691410392365,0.294469357249626,11.2467532467532,0.460057747834456,0.406064601186552,0.1912,0.0879666666666667,1.21739130434783,320341,1
0.0649,0.1608,0.078,0.3754,0.6774,0.793486894360604,0.286854103343465,8.68461538461538,0.384714747039828,0.485074626865672,0.1787,0.101233333333333,1.20184899845917,320607,1
0.0562,0.1547,0.0654,0.3571,0.6542,0.818232351306281,0.293780282804311,10.0030581039755,0.435730858468677,0.422753716871364,0.1878,0.0921,1.16370106761566,320641,1
0.0314,0.092,0.039,0.2383,0.4977,0.85466741196199,0.352445652173913,12.7615384615385,0.446540880503145,0.423913043478261,0.1136,0.0541333333333333,1.24203821656051,320796,1
0.036,0.1025,0.0446,0.2782,0.5521,0.850511144628792,0.329880765988197,12.3789237668161,0.435574229691877,0.435121951219512,0.1244,0.0610333333333333,1.23888888888889,320854,1
0.2694,0.2909,0.3226,0.4146,0.5013,0.216895254278432,0.0946609891909597,1.55393676379417,-0.00868972567728743,1.10897215537986,-0.0102,0.2943,1.19747587230883,320953,2
