BLU,GRE,RED,REDEDGE,NearIR,NDVI,NDRE,SR,GLI,RGI,ExG,meanRGB,RBI,class
0.2163,0.2444,0.2687,0.3664,0.474,0.276423859,0.128034269,1.764049125,0.003902239,1.099427169,0.0038,0.243133333,1.242256126,2
0.2374,0.2891,0.3059,0.4505,0.5713,0.30255358,0.118222744,1.867603792,0.031119037,1.05811138,0.0349,0.277466667,1.288542544,2
0.2179,0.2238,0.2547,0.3178,0.4042,0.226893307,0.11966759,1.586965057,-0.027168007,1.138069705,-0.025,0.232133333,1.16888481,2
0.1881,0.192,0.2192,0.2772,0.3758,0.263193277,0.150995406,1.714416058,-0.029445217,1.141666667,-0.0233,0.199766667,1.165337586,2
0.1439,0.1849,0.1588,0.2978,0.4842,0.506065319,0.238363171,3.049118388,0.099776952,0.858842618,0.0671,0.162533333,1.103544128,2
0.1433,0.1568,0.1589,0.2143,0.2926,0.296124031,0.154468337,1.841409692,0.018512504,1.013392857,0.0114,0.153,1.108862526,2
0.1611,0.1728,0.1786,0.2195,0.3257,0.291691453,0.194790902,1.823628219,0.008609368,1.033564815,0.0059,0.170833333,1.108628181,2
0.1247,0.1401,0.1419,0.1901,0.2889,0.341225627,0.206263048,2.035940803,0.024871982,1.012847966,0.0136,0.135566667,1.137931034,2
0.1997,0.2095,0.2116,0.3116,0.436,0.346510191,0.166399144,2.060491493,0.009273756,1.010023866,0.0077,0.206933333,1.059589384,2
0.1521,0.1772,0.1572,0.2427,0.3383,0.365489405,0.16454389,2.152035623,0.067952388,0.887133183,0.0451,0.162166667,1.033530572,2
0.1498,0.17,0.1605,0.2263,0.3598,0.383048241,0.22777683,2.241744548,0.045671229,0.944117647,0.0297,0.1601,1.071428571,2
0.2036,0.2135,0.2064,0.2525,0.3657,0.278447824,0.183112261,1.771802326,0.020310633,0.966744731,0.017,0.207833333,1.013752456,2
0.2232,0.23,0.2089,0.3123,0.3963,0.309649703,0.118543607,1.897079943,0.031274521,0.90826087,0.0279,0.2207,0.9359319,2
0.1973,0.2084,0.2089,0.2602,0.3661,0.273391304,0.169088296,1.752513164,0.012879708,1.002399232,0.0106,0.204866667,1.058793715,2
0.1874,0.2116,0.209,0.3117,0.4351,0.351032448,0.16523835,2.081818182,0.032698878,0.987712665,0.0268,0.202666667,1.115261473,2
0.1472,0.155,0.155,0.2142,0.3298,0.360561056,0.2125,2.127741935,0.012740934,1,0.0078,0.1524,1.05298913,2
